full_name,final_score,occupation,hometown,city,state,state_id,archive_info,date,dt_indx,id_x,created_at,favorite_count,retweet_count,anecdote,text,game_info_flg,winner_flg,gender,clean_text,answer_number,job,final_job_category
Erin Matherne,7100,a graphic designer,"Winter Garden, Florida",Winter Garden,Florida,FL,J! Archive - Show #7698,2018-02-14,3,963927601109766144,2018-02-15 00:07:03,9,1,I think Secretariat is the best thoroughbred.,"2/14/18:
""I think Secretariat is the best thoroughbred.""
""I lose at tennis to my mother-in-law every morning.""
""I did improv and a stand-up comedian.""
#Jeopardy #ValentinesDay https://t.co/j0dfoakSMz",True,0,mostly_female,I think Secretariat is the best thoroughbred.,answer1,graphic designer,actor/artist/designer
Missy Meyer,2399,a graphic designer,"Gilbert, Arizona",Gilbert,Arizona,AZ,J! Archive - Show #7643,2017-11-29,2,936023735265583104,2017-11-30 00:07:03,18,5,I used to make webcomics about weird holidays.,"11/29/17:
""I almost helped a bank robber.""
""I used to make webcomics about weird holidays.""
""I rafted with my friends wearing fake mustaches.""
#Jeopardy https://t.co/dq39nR3aKx",True,0,female,I used to make webcomics about weird holidays.,answer2,graphic designer,actor/artist/designer
Jessica Plagens,4300,a graphic designer,"St. Paul, Minnesota",St. Paul,Minnesota,MN,J! Archive - Show #7342,2016-07-12,3,753003114677071872,2016-07-12 23:08:27,17,4,I wore a dirndl at a German restaurant,"7/12/16:
""I wore a dirndl at a German restaurant""
""I smiled my way into a ballet""
""I proposed via photos""
#Jeopardy https://t.co/ZK7kiYrysq",True,0,female,I wore a dirndl at a German restaurant,answer1,graphic designer,actor/artist/designer
Ryan Kious,799,a social media and web writer,"Albuquerque, New Mexico",Albuquerque,New Mexico,NM,J! Archive - Show #7584,2017-07-27,2,890710153804361728,2017-07-27 23:07:03,10,2,I met my lady at a weekly poker game.,"7/27/17:
""I had a patent at age 10 for a clean Band-Aid.""
""I met my lady at a weekly poker game.""
""Positivity helps me succeed.""
#Jeopardy https://t.co/DvrbiU97do",True,0,mostly_male,I met my lady at a weekly poker game.,answer2,social media web writer,writer
Maggie Lehrman,0,an editor and writer,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #8045,2019-07-26,2,1154934362737205253,2019-07-27 01:59:44,23,2,The children's' book industry is phenomenal.,"7/26/19:
""My medical school interview was with a @Jeopardy! contestant who fell to @KenJennings.""
""The children's' book industry is phenomenal.""
""A movie editor in France has a similar name to mine.""
#Jeopardy https://t.co/NUhCad6Nwh",True,0,female,The childrens book industry is phenomenal.,answer2,editor writer,writer
Hilary Hinzmann,13500,an editor and writer,"New York, New York",New York,New York,NY,J! Archive - Show #7282,2016-04-19,2,722565195286056962,2016-04-19 23:19:01,20,3,I wrote about a word-knowing dog,"4/19/16:
""My man drove me to a Jeopardy! tryout""
""I wrote about a word-knowing dog""
""I'm in a small town""
#Jeopardy https://t.co/oKlQXwIK7t",True,0,female,I wrote about a word-knowing dog,answer2,editor writer,writer
Daniel Esch,100,an editor and writer,"San Bruno, California",San Bruno,California,CA,J! Archive - Show #7559,2017-06-22,3,878026577107439620,2017-06-22 23:07:03,17,4,I grew up near a hill that pushed cars up.,"6/22/17:
""I grew up near a hill that pushed cars up.""
""Every team I visit wins the World Series.""
""I'm a medieval quilt expert.""
#Jeopardy https://t.co/GFCRtwSe9z",True,0,male,I grew up near a hill that pushed cars up.,answer1,editor writer,writer
E.J. Wolborsky,0,a freelance project manager,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #8026,2019-07-01,1,1145875973994418176,2019-07-02 02:04:56,8,0,I have 2 rescue dogs named Bootsy &amp; Clyde.,"7/1/19:
""I wrote an academic book about music at a Parisian convent school.""
""I'm a @TerrierHockey season ticket holder.""
""I have 2 rescue dogs named Bootsy &amp; Clyde.""
#Jeopardy https://t.co/a5bVLRKsgD",True,1,unknown,I have 2 rescue dogs named Bootsy and Clyde.,answer3,freelance project manager,manager
E.J. Wolborsky,28800,a freelance project manager,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #8013,2019-06-12,3,1138982705775947776,2019-06-13 01:33:32,29,3,Early childhood trauma gives me a fear of butterflies.,"6/12/19:
""Early childhood trauma gives me a fear of butterflies.""
""For 20 years, I've mathematically ranked college football teams.""
""I'm going to put leather seats in my forklift.""
#Jeopardy https://t.co/nnE8oQxqre",True,1,unknown,Early childhood trauma gives me a fear of butterflies.,answer1,freelance project manager,manager
Stephanie Stein,6300,an editor,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7969,2019-04-11,2,1116523347125387264,2019-04-12 02:08:04,15,1,I volunteer for a women's hockey team.,"4/11/19:
""I was a chauffeur for a congressionally-related wolf.""
""I volunteer for a women's hockey team.""
""My mom got me a perm at age 6 because it was free.""
#Jeopardy https://t.co/Ut7HQAZPkh",True,0,female,I volunteer for a womens hockey team.,answer2,editor,writer
Scott Krzywonos,5,an editor,"Levittown, Pennsylvania",Levittown,Pennsylvania,PA,J! Archive - Show #7709,2018-03-01,2,969363694323929091,2018-03-02 00:08:09,10,3,My friends raised $5 so I wouldn't shave my head.,"3/1/18:
""My boyfriend made me a Jeopardy! archive app.""
""My friends raised $5 so I wouldn't shave my head.""
""I have a tattoo of my family crest.""
#Jeopardy https://t.co/DPENyjMlM4",True,0,male,My friends raised $5 so I wouldnt shave my head.,answer2,editor,writer
Amy Finkelstein,100,an editor,"Chicago, Illinois",Chicago,Illinois,IL,J! Archive - Show #7707,2018-02-27,2,968638647472984064,2018-02-28 00:07:04,8,2,My sister read Jeopardy! clues to me in London.,"2/27/18:
""I collect local art.""
""My sister read Jeopardy! clues to me in London.""
""I saw Italy win the World Cup in a convent.""
#Jeopardy https://t.co/DhEDQQHFvi",True,0,female,My sister read Jeopardy clues to me in London.,answer2,editor,writer
Chris Whalen,14401,an editor,"Austin, Texas",Austin,Texas,TX,J! Archive - Show #7917,2019-01-29,2,1090401290981699586,2019-01-30 00:08:21,19,2,I make perfumes with essential oils.,"1/29/19:
""My escape room record is 3 out of 12.""
""I make perfumes with essential oils.""
""I love making homemade sourdough breads.""
#Jeopardy https://t.co/VbV064BwNa",True,1,mostly_male,I make perfumes with essential oils.,answer2,editor,writer
Reese Wallace,0,an editor,"Orlando, Florida",Orlando,Florida,FL,J! Archive - Show #7821,2018-09-17,3,1041825993412026368,2018-09-17 23:07:27,29,3,I became a bourbon enthusiast in my late teens.,"9/17/18:
""I became a bourbon enthusiast in my late teens.""
""I attended Cheese University.""
""I was attacked by a cactus.""
#Jeopardy https://t.co/igppVEe3h9",True,0,andy,I became a bourbon enthusiast in my late teens.,answer1,editor,writer
Jesse Darland,19199,an editor,"Charleston, South Carolina",Charleston,South Carolina,SC,J! Archive - Show #7711,2018-03-05,3,970812991993196544,2018-03-06 00:07:08,6,1,The Secret Service stopped me from meeting @AlGore.,"3/5/18:
""The Secret Service stopped me from meeting @AlGore.""
""My husband &amp; I travel on our tandem bicycle.""
""I lived in the Ecuadorian Amazon.""
#Jeopardy https://t.co/K9HDiUqZgg",True,0,male,The Secret Service stopped me from meeting Al Gore.,answer1,editor,writer
Tim Aten,3187,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7633,2017-11-15,3,930995608588079104,2017-11-16 03:07:04,8,2,I realized how smart people miss easy questions.,"11/15/17:
""I realized how smart people miss easy questions.""
""My animal magnetism led to my cat adopting me.""
""I'm getting my creative writing Master's.""
#Jeopardy https://t.co/21yTH87qal",True,0,male,I realized how smart people miss easy questions.,answer1,editor,writer
Tim Aten,11500,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7627,2017-11-07,1,928051217036701696,2017-11-08 00:07:07,26,1,I played butterfly-like.,"11/7/17:
""I suggested we wear ribbons to honor Cindy Stowell.""
""I gained fame from Spiciest Meme Lord.""
""I played butterfly-like.""
#Jeopardy https://t.co/zm6BGBP8fW",True,0,male,I played butterfly-like.,answer3,editor,writer
Tim Aten,7800,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7422,2016-12-13,1,808825597749264384,2016-12-14 00:07:04,32,13,"Sleep, ice cream and music really excite me.","12/13/16:
""I love watching bad movies.""
""I proposed in an escape room.""
""Sleep, ice cream and music really excite me.""
#Jeopardy https://t.co/SnY5KZY7S8",True,0,male,"Sleep, ice cream and music really excite me.",answer3,editor,writer
Tim Aten,5600,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7421,2016-12-12,1,808463725556563972,2016-12-13 00:09:07,8,4,I've driven across the U.S. 4 times.,"12/12/16:
""I'm a co-ed fantasy football commissioner.""
""I'm a @Mets fan living in Oregon.""
""I've driven across the U.S. 4 times.""
#Jeopardy https://t.co/OIo0DSFhXC",True,1,male,Ive driven across the U.S. 4 times.,answer3,editor,writer
Tim Aten,22600,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7420,2016-12-09,1,807379495636365312,2016-12-10 00:20:46,11,8,I know all the words to @Eminem's 'Without Me.',"12/9/16:
""I was named after a Doctor Zhivago character.""
""I like my band saw.""
""I know all the words to @Eminem's 'Without Me.'""
#Jeopardy https://t.co/YeUfvRhBuj",True,1,male,I know all the words to Eminems Without Me.,answer3,editor,writer
Tim Aten,7999,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7419,2016-12-08,1,807013459812634624,2016-12-09 00:06:17,10,4,I was obsessed with @MTV countdowns.,"12/8/16:
""I was born to Albanians in Montenegro.""
""I played tuba under the Eiffel Tower.""
""I was obsessed with @MTV countdowns.""
#Jeopardy https://t.co/LyrrcLv4wK",True,1,male,I was obsessed with M T V countdowns.,answer3,editor,writer
Tim Aten,15000,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7418,2016-12-07,1,806697291360911363,2016-12-08 03:09:56,13,4,I have my own trading card.,"12/7/16:
""I'm an avid mushroom hunter.""
""I'm going back to school for a data science Master's.""
""I have my own trading card.""
#Jeopardy https://t.co/WriMQWsOqJ",True,1,male,I have my own trading card.,answer3,editor,writer
Tim Aten,8500,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7417,2016-12-06,1,806291541346095104,2016-12-07 00:17:38,16,0,I won a trivia penmanship award,"12/6/16:
""I prepare by listening to the Karate Kid theme""
""My family goes back to Al Swearengen""
""I won a trivia penmanship award""
#Jeopardy https://t.co/bUcZHLKrEy",True,1,male,I won a trivia penmanship award,answer3,editor,writer
Tim Aten,12800,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7416,2016-12-05,1,805927341381840901,2016-12-06 00:10:26,19,6,I raced a woolly bear &amp; it lost.,"12/5/16:
""I sometimes wear pants to sell beer equipment.""
""I'm a literary subrights assistant.""
""I raced a woolly bear &amp; it lost.""
#Jeopardy https://t.co/ozwa0sO5y0",True,1,male,I raced a woolly bear and it lost.,answer3,editor,writer
Tim Aten,35000,an editor,"Vermilion, Ohio",Vermilion,Ohio,OH,J! Archive - Show #7415,2016-12-02,3,804839881151303681,2016-12-03 00:09:15,7,2,I have an excessive ice cream love.,"12/2/16:
""I have an excessive ice cream love.""
""I owned Alex's favorite animal, the musk ox.""
""I got hooked on cricket in London.""
#Jeopardy https://t.co/OPcm3NB2s0",True,1,male,I have an excessive ice cream love.,answer1,editor,writer
Bryna Fischer,5599,an editor,"Westlake Village, California",Westlake Village,California,CA,J! Archive - Show #7311,2016-05-30,2,737420685543280640,2016-05-30 23:09:26,16,3,I enjoy Yiddish curses.,"5/30/16:
""I spent my childhood in Brazil.""
""I enjoy Yiddish curses.""
""I train my dogs in agility.""
#Jeopardy https://t.co/q3ry7H7osg",True,1,female,I enjoy Yiddish curses.,answer2,editor,writer
Pauline Sholtys,14800,an editor,"Ansonia, Connecticut",Ansonia,Connecticut,CT,J! Archive - Show #7026,2015-03-16,2,577609560489373696,2015-03-16 23:17:05,16,7,I play in a handbell group.,"3/16/15:
""I have 7,000 comic books.""
""I play in a handbell group.""
""I'm happy the judges took my answer.""
#Jeopardy http://t.co/FhtZltn0A1",True,0,female,I play in a handbell group.,answer2,editor,writer
Erich Johnson,0,a musician and grad student,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7962,2019-04-02,2,1113217151886921728,2019-04-02 23:10:26,5,0,My 7th grade teacher called me Mr. @Jeopardy! because I knew trivia.,"4/2/19:
""I've done the same triathlon four times.""
""My 7th grade teacher called me Mr. @Jeopardy! because I knew trivia.""
""I make food at my annual Oscar party based on the films.""
#Jeopardy https://t.co/JKS74XFzz9",True,0,male,My 7th grade teacher called me Mr. Jeopardy because I knew trivia.,answer2,musician grad student,grad student
David Moo,11199,a cocktail bartender,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7910,2019-01-18,3,1086414957841956866,2019-01-19 00:08:05,6,1,I proposed to my girlfriend while hosting a pub quiz.,"1/18/19:
""I proposed to my girlfriend while hosting a pub quiz.""
""I'm an amateur belly dancer.""
""My family &amp; I kept score watching @Jeopardy!""
#Jeopardy https://t.co/4ZxUrGt1K4",True,0,male,I proposed to my girlfriend while hosting a pub quiz.,answer1,cocktail bartender,actor/artist/designer
Chelsea Hill,10800,an administrative assistant,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7900,2019-01-04,3,1081341528939859968,2019-01-05 00:08:05,5,0,I answered a @Jeopardy! clue about moons in 2nd grade.,"1/4/19:
""I answered a @Jeopardy! clue about moons in 2nd grade.""
""I qualified for a tournament in domestic extemporaneous speaking.""
""My wife got me a WWII training plane flight for my birthday.""
#Jeopardy https://t.co/BwwT98SnrQ",True,0,female,I answered a Jeopardy clue about moons in 2nd grade.,answer1,administrative assistant,administration/ advisory
Alan Harrison,3199,an administrative assistant,"Seattle, Washington",Seattle,Washington,WA,J! Archive - Show #7706,2018-02-26,1,968276259234091009,2018-02-27 00:07:04,15,3,I can recite a song about Russian composers.,"2/26/18:
""I have a chicken sandwich named after me.""
""I'm in a book about Harry Potter fandom.""
""I can recite a song about Russian composers.""
#Jeopardy https://t.co/gpvAYwJiN1",True,0,male,I can recite a song about Russian composers.,answer3,administrative assistant,administration/ advisory
Alan Harrison,8509,an administrative assistant,"Seattle, Washington",Seattle,Washington,WA,J! Archive - Show #7705,2018-02-23,1,967189090918715392,2018-02-24 00:07:03,18,2,I added $1600 because the judges should've accepted my response.,"2/23/18:
""I danced Thriller in New York with 99 other zombies.""
""I have two Harry Potter tattoos.""
""I added $1600 because the judges should've accepted my response.""
#Jeopardy https://t.co/gUn3BXvFAq",True,1,male,I added $1600 because the judges shouldve accepted my response.,answer3,administrative assistant,administration/ advisory
Alan Harrison,15201,an administrative assistant,"Seattle, Washington",Seattle,Washington,WA,J! Archive - Show #7704,2018-02-22,3,966826710258896897,2018-02-23 00:07:05,19,1,I let young people come to plays for lower prices.,"2/22/18:
""I let young people come to plays for lower prices.""
""I made a big quilt with Ron Swanson's face.""
""My lazy golden retriever is a therapy dog.""
#Jeopardy https://t.co/FfESDdZpIa",True,1,male,I let young people come to plays for lower prices.,answer1,administrative assistant,administration/ advisory
Michelle Chick,7000,an administrative assistant,"Livonia, Michigan",Livonia,Michigan,MI,J! Archive - Show #6949,2014-11-27,2,538124381617397761,2014-11-28 00:17:05,2,2,I rode motorcycles before my wedding,"11/27/14:
""Mike Tyson was rude to me""
""I rode motorcycles before my wedding""
""I went to China for college""
#Jeopardy http://t.co/p1CCMLpzGB",True,0,female,I rode motorcycles before my wedding,answer2,administrative assistant,administration/ advisory
Alexandra Whitehill Smith,11399,an administrative assistant,"Columbia, South Carolina",Columbia,South Carolina,SC,J! Archive - Show #7185,2015-12-04,2,672930648542347264,2015-12-05 00:09:03,20,16,I worked with no animals in a zoo.,"12/4/15:
""I hip-checked a baboon.""
""I worked with no animals in a zoo.""
""I live with many sheep and cats.""
#Jeopardy https://t.co/pkip5JcqlE",True,0,female,I worked with no animals in a zoo.,answer2,administrative assistant,administration/ advisory
Debbi Hopkins,3799,an administrative assistant,"Charleston, South Carolina",Charleston,South Carolina,SC,J! Archive - Show #7384,2016-10-20,1,789242476108263424,2016-10-20 23:10:44,8,5,I was a county spelling bee champ.,"10/20/16:
""I used @MLB bobbleheads as wedding card holders.""
""I've photographed wildebeests.""
""I was a county spelling bee champ.""
#Jeopardy https://t.co/neHRmnAekJ",True,0,female,I was a county spelling bee champ.,answer3,administrative assistant,administration/ advisory
Debbi Hopkins,18300,an administrative assistant,"Charleston, South Carolina",Charleston,South Carolina,SC,J! Archive - Show #7383,2016-10-19,3,788936199960301568,2016-10-20 02:53:42,12,2,I helped a snake cross the road.,"10/19/16:
""I helped a snake cross the road.""
""I almost lost my passport in China.""
""I try to improve genomic diagnostics.""
#Jeopardy https://t.co/rijDtx6x3x",True,1,female,I helped a snake cross the road.,answer1,administrative assistant,administration/ advisory
Bonnie Leih,2000,an administrative assistant,"Plumas Lake, California",Plumas Lake,California,CA,J! Archive - Show #7601,2017-10-02,3,915035436698959872,2017-10-03 02:07:03,56,7,I met my husband in ROTC class.,"10/2/17:
""I met my husband in ROTC class.""
""Richard Gere saw me prosecute a case.""
""I fell asleep at a @Korn/@Disturbed concert.""
#Jeopardy https://t.co/ai6DtYKMec",True,0,mostly_female,I met my husband in ROTC class.,answer1,administrative assistant,administration/ advisory
Kelly Lasiter,14400,an administrative assistant,"Granite City, Illinois",Granite City,Illinois,IL,J! Archive - Show #7573,2017-07-12,1,885274333794447360,2017-07-12 23:07:03,16,1,I drank no alcohol in the @ScrippsBee,"7/12/17:
""My family gives our pets nerdy names""
""I drank alcohol in an adult spelling bee""
""I drank no alcohol in the @ScrippsBee""
#Jeopardy https://t.co/ELmAKpI9bd",True,0,mostly_female,I drank no alcohol in the Scripps Bee,answer3,administrative assistant,administration/ advisory
Kelly Lasiter,22800,an administrative assistant,"Granite City, Illinois",Granite City,Illinois,IL,J! Archive - Show #7572,2017-07-11,3,884911946021122049,2017-07-11 23:07:03,6,0,I go to St. Louis sci-fi conventions,"7/11/17:
""I go to St. Louis sci-fi conventions""
""I've lived in Libya &amp; Afghanistan""
""My wife &amp; I rode camels in Wadi Rum &amp; Petra""
#Jeopardy https://t.co/2XZWs1Zysk",True,1,mostly_female,I go to St. Louis sci-fi conventions,answer1,administrative assistant,administration/ advisory
Bonnie Megel,21700,an administrative assistant,"Grinnell, Iowa",Grinnell,Iowa,IA,J! Archive - Show #7340,2016-07-08,1,751554730317344768,2016-07-08 23:13:05,14,3,My dog gifted me a squirrel,"7/8/16:
""I've seen many shuttles launch""
""I took a move from @RealMickFoley""
""My dog gifted me a squirrel""
#Jeopardy https://t.co/iCEiD4caUs",True,0,mostly_female,My dog gifted me a squirrel,answer3,administrative assistant,administration/ advisory
Bonnie Megel,31400,an administrative assistant,"Grinnell, Iowa",Grinnell,Iowa,IA,J! Archive - Show #7339,2016-07-07,3,751195629196439552,2016-07-07 23:26:09,15,4,My dogs were put in a cop car.,"7/7/16:
""My dogs were put in a cop car.""
""I collect fetishes.""
""I was bought books to not run my mom's.""
#Jeopardy https://t.co/9Xs5ThredZ",True,1,mostly_female,My dogs were put in a cop car.,answer1,administrative assistant,administration/ advisory
Ernestine Gardner,6000,an administrative assistant,"South Bend, Indiana",South Bend,Indiana,IN,J! Archive - Show #7142,2015-10-06,3,651542809372164096,2015-10-06 23:41:25,29,11,My future husband zipped my dress.,"10/6/15:
""My future husband zipped my dress.""
""I travel to watch sports.""
""My parents are opposites.""
#Jeopardy http://t.co/EPmXTRN5Op",True,1,female,My future husband zipped my dress.,answer1,administrative assistant,administration/ advisory
Ellie Jostad,-2000,a journalist,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7890,2018-12-21,2,1076285827335053312,2018-12-22 01:18:32,13,3,I have saved every letter ever sent to me.,"12/21/18:
""I've been in the same band for 40 years.""
""I have saved every letter ever sent to me.""
""I dedicate this game to my recently-passed grandma.""
#Jeopardy https://t.co/qhcYLntphW",True,0,female,I have saved every letter ever sent to me.,answer2,journalist,writer
Jennifer Chang,9200,a journalist,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7640,2017-11-24,3,934211808172367872,2017-11-25 00:07:06,26,5,"“My corgi has 8,000 followers online.”","11/24/17:
“My corgi has 8,000 followers online.”
“My family crest has a grasshopper.”
“I collected hotel keycards as a kid.”
#Jeopardy https://t.co/YWf2I3UFGQ",True,0,female,"“My corgi has 8,000 followers online.”",answer1,journalist,writer
Jennifer Chang,9200,a journalist,"Brooklyn, New York",Brooklyn,New York,NY,J! Archive - Show #7640,2017-11-24,3,933930130640162817,2017-11-24 05:27:49,9,0,“I am a performance manager.”,"11/24/17:
“I am a performance manager.”
“I got to ride in a tank.”
“I’ve been to all of Utah’s national parks.”
#Jeopardy https://t.co/XC5eriIbM1",True,0,female,“I am a performance manager.”,answer1,journalist,writer
Josh Stephens,3199,a journalist,"Los Angeles, California",Los Angeles,California,CA,J! Archive - Show #7945,2019-03-08,2,1104171720427163648,2019-03-09 00:07:07,17,1,I've been to China 10 times and haven't seen the Great Wall.,"3/8/19:
""My thesis was about a 1910s baseball war.""
""I've been to China 10 times and haven't seen the Great Wall.""
""I was a flower girl at a wedding 4 months ago.""
#Jeopardy https://t.co/xoVvLdcgzc",True,1,male,Ive been to China 10 times and havent seen the Great Wall.,answer2,journalist,writer
Roey Hadar,19600,a journalist,"Arlington, Virginia",Arlington,Virginia,VA,J! Archive - Show #8039,2019-07-18,1,1154117827709886464,2019-07-24 19:55:07,8,2,My girlfriend &amp; I are lazy and watch The Office.,"7/18/19:
""I dyed my hair blue &amp; white for the @Mets to win.""
""I took a visit to Lapland in the winter.""
""My girlfriend &amp; I are lazy and watch The Office.""
#Jeopardy https://t.co/oadgI0gyZL",True,1,male,My girlfriend and I are lazy and watch The Office.,answer3,journalist,writer
Roey Hadar,23600,a journalist,"Arlington, Virginia",Arlington,Virginia,VA,J! Archive - Show #8038,2019-07-17,3,1154107769114517504,2019-07-24 19:15:09,26,2,“My girlfriend calls me Grandpa.”,"7/17/19:
“My girlfriend calls me Grandpa.”
“I curse in front of my grandma because of @Jeopardy!”
“I like to go on a wilderness hike by myself.”
#Jeopardy https://t.co/owvX1RQI0x",True,1,male,“My girlfriend calls me Grandpa.”,answer1,journalist,writer
Jeff Lasky,1,a journalist,"San Diego, California",San Diego,California,CA,J! Archive - Show #8036,2019-07-15,3,1150947485029998593,2019-07-16 01:57:18,12,0,I told @MelBrooks that he almost killed my grandma.,"7/15/19:
""I told @MelBrooks that he almost killed my grandma.""
""I use a fountain pen.""
""I almost missed the call to be on @Jeopardy! because I was in Australia.""
#Jeopardy https://t.co/h9sKGen8DZ",True,0,male,I told Mel Brooks that he almost killed my grandma.,answer1,journalist,writer
